,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,time_signature
60,0.848,0.542,6,-7.164,1,0.0539,0.155,7.99e-05,0.0767,0.538,132.038,audio_features,4
61,0.759,0.404,10,-11.803,0,0.049,0.462,0.00139,0.0841,0.581,77.977,audio_features,4
62,0.347,0.544,9,-6.517,0,0.0277,0.341,0.88,0.119,0.0789,78.609,audio_features,4
63,0.192,0.129,1,-23.566,1,0.032,0.936,0.97,0.127,0.155,172.923,audio_features,3
64,0.605,0.49,0,-7.148,1,0.0465,0.128,0.000119,0.38,0.355,140.172,audio_features,4
65,0.827,0.77,10,-7.427,0,0.268,0.0237,6.85e-05,0.195,0.91,94.987,audio_features,4
66,0.722,0.378,2,-14.049,1,0.0284,0.106,0.263,0.0772,0.512,94.293,audio_features,4
67,0.41,0.298,3,-11.796,1,0.0473,0.721,0.0,0.158,0.142,109.651,audio_features,3
68,0.615,0.66,8,-6.361,1,0.0874,0.026,4.51e-06,0.112,0.632,151.246,audio_features,4
69,0.493,0.478,10,-8.133,1,0.0284,0.717,0.713,0.28,0.101,124.796,audio_features,4
70,0.416,0.878,1,-3.654,0,0.322,0.0583,0.00453,0.25,0.317,191.936,audio_features,4
71,0.759,0.642,7,-8.16,0,0.0396,0.0365,0.00695,0.128,0.663,123.0,audio_features,4
72,0.216,0.757,7,-7.654,0,0.0302,3.61e-05,0.581,0.209,0.207,89.999,audio_features,4
73,0.734,0.541,7,-8.86,1,0.131,0.454,0.000851,0.132,0.501,140.044,audio_features,4
74,0.793,0.489,8,-10.984,0,0.284,0.25,0.000101,0.432,0.47,120.097,audio_features,4
75,0.472,0.533,11,-7.033,0,0.032,0.494,0.0,0.147,0.348,142.104,audio_features,3
76,0.858,0.426,10,-8.879,0,0.0402,0.00586,0.761,0.0977,0.419,89.981,audio_features,4
77,0.668,0.605,2,-7.608,0,0.0454,0.336,0.000206,0.115,0.877,83.002,audio_features,4
78,0.656,0.687,6,-6.286,0,0.0891,0.136,0.0979,0.14,0.566,72.033,audio_features,4
79,0.719,0.385,8,-10.907,1,0.0403,0.0167,0.0313,0.111,0.27,128.0,audio_features,4
80,0.599,0.229,11,-10.219,1,0.0517,0.429,3.26e-05,0.0955,0.446,169.647,audio_features,3
81,0.467,0.257,5,-10.123,1,0.0314,0.775,0.0,0.118,0.255,106.605,audio_features,3
82,0.482,0.529,0,-5.95,0,0.0302,0.453,0.000668,0.109,0.427,79.648,audio_features,4
83,0.849,0.682,7,-6.241,1,0.123,0.0197,0.00143,0.0996,0.928,121.997,audio_features,4
84,0.786,0.921,0,-6.842,1,0.101,0.0552,0.00181,0.0629,0.628,118.373,audio_features,4
85,0.616,0.854,11,-4.749,0,0.368,0.12,0.0,0.322,0.801,113.982,audio_features,4
86,0.546,0.398,6,-9.225,0,0.0288,0.399,0.0262,0.11,0.442,127.307,audio_features,4
87,0.784,0.94,9,-7.327,0,0.054,0.0716,0.000171,0.133,0.979,137.003,audio_features,4
88,0.661,0.303,1,-14.967,0,0.0301,0.497,0.795,0.0673,0.373,114.037,audio_features,3
89,0.545,0.783,6,-6.265,0,0.0567,0.0261,2.46e-05,0.143,0.402,82.437,audio_features,4
90,0.434,0.642,10,-7.985,0,0.0419,0.0315,0.0525,0.641,0.408,87.321,audio_features,4
91,0.243,0.645,1,-6.333,0,0.0913,0.0995,0.489,0.11,0.467,186.03,audio_features,3
92,0.418,0.527,0,-9.589,1,0.0416,0.0955,0.47,0.595,0.384,130.329,audio_features,4
93,0.859,0.528,0,-8.124,1,0.0417,0.322,0.00103,0.0935,0.886,104.689,audio_features,4
94,0.645,0.351,4,-12.199,1,0.039,0.409,4.99e-06,0.108,0.366,87.01,audio_features,4
95,0.453,0.705,2,-4.969,0,0.0271,0.0145,0.0234,0.117,0.189,100.979,audio_features,4
96,0.636,0.182,9,-14.972,1,0.0297,0.747,0.484,0.11,0.206,129.436,audio_features,4
97,0.331,0.392,4,-12.732,0,0.044,0.44,0.523,0.111,0.209,88.178,audio_features,4
98,0.7,0.447,8,-11.083,0,0.0354,0.532,0.000192,0.0878,0.829,144.726,audio_features,4
99,0.452,0.834,11,-4.657,1,0.0967,0.0417,0.00036,0.119,0.514,142.088,audio_features,4
100,0.749,0.463,11,-8.433,1,0.0828,0.208,0.0371,0.337,0.19,90.028,audio_features,4
101,0.436,0.655,1,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,audio_features,4
102,0.554,0.498,9,-8.866,1,0.0685,0.23,5.98e-06,0.795,0.413,79.635,audio_features,4
103,0.816,0.527,6,-9.479,0,0.0871,0.156,0.000216,0.0998,0.454,152.029,audio_features,4
104,0.599,0.686,8,-5.951,1,0.0422,0.0177,0.00105,0.0929,0.663,148.009,audio_features,4
105,0.589,0.431,9,-10.096,0,0.0475,0.554,0.0317,0.0878,0.159,134.688,audio_features,4
106,0.658,0.31,1,-15.072,0,0.0385,0.883,0.196,0.115,0.371,75.61,audio_features,4
107,0.7,0.4,7,-8.46,1,0.0465,0.212,0.000321,0.55,0.28,93.959,audio_features,4
108,0.365,0.378,0,-10.621,0,0.0372,0.398,0.85,0.112,0.413,114.511,audio_features,4
109,0.499,0.0341,8,-22.31,1,0.0417,0.923,5.27e-05,0.131,0.31,81.735,audio_features,4
110,0.532,0.0657,0,-19.136,0,0.0406,0.94,0.00488,0.0946,0.292,128.607,audio_features,4
111,0.378,0.525,9,-10.788,0,0.0427,0.0588,0.638,0.109,0.0825,134.285,audio_features,4
112,0.27,0.686,4,-10.137,0,0.0541,0.46,0.792,0.135,0.377,138.949,audio_features,4
113,0.294,0.491,7,-11.296,1,0.0342,0.444,0.787,0.109,0.332,110.367,audio_features,3
